Fp1,Fp2,F7,F3,Fz,F4,F8,T3,C3,Cz,C4,T4,T5,P3,Pz,P4,T6,O1,O2
 1.000,0.2720,0.1947,0.1573,0.04800,0.06667,0.03467,0.05067,0.02667,0.02400,0.05067,0.02133,0.02667,0.04267,0.1360,0.07733,0.01333,0.02400,0.02667
0.2720, 1.000,0.05333,0.05600,0.04000,0.1093,0.1227,0.02133,0.06133,0.05867,0.03467,0.02933,0.01867,0.09333,0.1173,0.05333,0.01600,0.04000,0.02667
0.1947,0.05333, 1.000,0.1307,0.05333,0.05867,0.04267,0.1547,0.008000,0.02133,0.08267,0.02133,0.03200,0.04000,0.1413,0.09600,0.02667,0.04000,0.03200
0.1573,0.05600,0.1307, 1.000,0.2213,0.1040,0.04800,0.03200,0.03200,0.03200,0.02400,0.01867,0.02400,0.05067,0.08533,0.1093,0.04000,0.06667,0.05600
0.04800,0.04000,0.05333,0.2213, 1.000,0.2293,0.05067,0.03467,0.03200,0.07200,0.02133,0.02667,0.04800,0.04533,0.05067,0.05333,0.04800,0.1147,0.1093
0.06667,0.1093,0.05867,0.1040,0.2293, 1.000,0.07467,0.02667,0.02933,0.04800,0.03733,0.01600,0.09067,0.05867,0.05067,0.03200,0.05333,0.1200,0.07200
0.03467,0.1227,0.04267,0.04800,0.05067,0.07467, 1.000,0.04000,0.06933,0.04800,0.02400,0.1173,0.06133,0.1333,0.09333,0.05333,0.02667,0.08267,0.01067
0.05067,0.02133,0.1547,0.03200,0.03467,0.02667,0.04000, 1.000,0.01067,0.03200,0.07200,0.01600,0.05600,0.02933,0.04000,0.04533,0.03467,0.02133,0.04000
0.02667,0.06133,0.008000,0.03200,0.03200,0.02933,0.06933,0.01067, 1.000,0.04800,0.01867,0.06400,0.03200,0.05067,0.01600,0.01333,0.08800,0.05600,0.03733
0.02400,0.05867,0.02133,0.03200,0.07200,0.04800,0.04800,0.03200,0.04800, 1.000,0.07200,0.02667,0.05867,0.01867,0.01867,0.01333,0.02933,0.05600,0.06667
0.05067,0.03467,0.08267,0.02400,0.02133,0.03733,0.02400,0.07200,0.01867,0.07200, 1.000,0.02933,0.07200,0.03200,0.07467,0.1040,0.01600,0.01600,0.02133
0.02133,0.02933,0.02133,0.01867,0.02667,0.01600,0.1173,0.01600,0.06400,0.02667,0.02933, 1.000,0.03200,0.04000,0.02667,0.04267,0.08267,0.01600,0.02400
0.02667,0.01867,0.03200,0.02400,0.04800,0.09067,0.06133,0.05600,0.03200,0.05867,0.07200,0.03200, 1.000,0.06133,0.01600,0.01600,0.02133,0.1280,0.02400
0.04267,0.09333,0.04000,0.05067,0.04533,0.05867,0.1333,0.02933,0.05067,0.01867,0.03200,0.04000,0.06133, 1.000,0.1280,0.04533,0.07733,0.09067,0.02133
0.1360,0.1173,0.1413,0.08533,0.05067,0.05067,0.09333,0.04000,0.01600,0.01867,0.07467,0.02667,0.01600,0.1280, 1.000,0.1013,0.02400,0.03733,0.02933
0.07733,0.05333,0.09600,0.1093,0.05333,0.03200,0.05333,0.04533,0.01333,0.01333,0.1040,0.04267,0.01600,0.04533,0.1013, 1.000,0.02667,0.01333,0.03733
0.01333,0.01600,0.02667,0.04000,0.04800,0.05333,0.02667,0.03467,0.08800,0.02933,0.01600,0.08267,0.02133,0.07733,0.02400,0.02667, 1.000,0.03467,0.03467
0.02400,0.04000,0.04000,0.06667,0.1147,0.1200,0.08267,0.02133,0.05600,0.05600,0.01600,0.01600,0.1280,0.09067,0.03733,0.01333,0.03467, 1.000,0.1333
0.02667,0.02667,0.03200,0.05600,0.1093,0.07200,0.01067,0.04000,0.03733,0.06667,0.02133,0.02400,0.02400,0.02133,0.02933,0.03733,0.03467,0.1333, 1.000
